"Datenbank","Identifier (0)","Klassifikation (50)","Klassifikation (50.1)","Klassifikation (50.3)","Klassifikation (50.4)","Verfasser (100)","Verfasser (100.1)","Verfasser (100.2)","Verfasser (100.3)","Sonstige Personen (101)","Sonstige Personen (101.1)","Sonstige Personen (101.2)","Sonstige Personen (101.3)","Institution (110)","Institution (110.1)","Institution (110.2)","Institution (110.3)","Sonstige Institutionen (112.1)","Titel (200)","Titel (200.1)","Titel (200.2)","Verfasserangabe (245)","Verfasserangabe (245.1)","Ausgabe (250)","Ausgabe (250.1)","Ausgabe (250.2)","Ausgabe (250.3)","Ort (260)","Ort (260.1)","Ort (260.2)","Ort (260.3)","Verlag (270)","Verlag (270.1)","Verlag (270.2)","Verlag (270.3)","Erscheinungsjahr (280)","Erscheinungsjahr (280.1)","Erscheinungsjahr (280.2)","Umfang (300)","Umfang (300.1)","Serie/ Reihe (400)","Serie/ Reihe (400.1)","Serie/ Reihe (400.2)","Serie/ Reihe (400.3)","Fußnote (500)","Fußnote (500.1)","ISBN (490)","ISBN (490.1)","ISBN (490.2)","ISBN (490.3)","ISSN (491)","ISSN (491.1)","ISSN (491.2)","ISSN (491.3)",492,492.1,492.2,492.3,"Systematik (080)","Systematik (080.1)","Schlagwort (600)","Schlagwort (600.1)","Schlagwort (600.2)","Schlagwort (600.3)","Regalstandort (852)","Regalstandort (852.1)","Regalstandort (852.2)","Regalstandort (852.3)","In- Vermerk (770)","In- Vermerk (770.1)","URL (850)","URL (850.1)","Originalsprachl. Inhalt (880)","Originalsprachl. Inhalt (880.1)"
"Stadtbibliothek Chemnitz","655471","III G 219",,,,,"Hoekstra, Ronald","Vohwinkel, Franz",,,,,,,,,,,,"Ugo!",,,,,,,,,"Moordrecht",,,,"Playthisone",,,,"2013",,"1 Spiel (8 Tafeln, 45 Karten, 36 Chips, 1 Anleitung) ;",,,,,,,,,,,,,,,,,,,,,,,,,,,"Blau Spiele Ugo",,,,,,,,
"Stadtbibliothek Chemnitz","655474","I G",,,,,"Haferkamp, Kai","Kraus, Joachim",,,,,,,,,,,,"Die monsterstarke Musikschule",,,,,,,,,"Ravensburg",,,,"Ravensburger Spieleverl.",,,,"2013",,"1 Spiel (2 Spielpläne, 1 Spielfigur, 3 Tafeln groß, 5 Tafeln klein, 1 Anleitung) ; ohne Tiptoi-Stift",,,"Tiptoi macht Wissen lebendig",,,,"Lernspiel. - für 1-4 Spieler. - ab 4-7 Jahren. - Spieldauer 20 Min.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","652214","III G 219",,,,,"Randolph, Alexander","Vohwinkel, Franz",,,,,,,,,,,,"Ricochat Robots",,,,,,,,,"Dreieich",,,,"Abacusspiele Verl.",,,,"2013",,"1 Spiel (8 Spielplanteile, 1 Spielplanverbindugsteil, 5 Roboter, 4 Standortmarker, 17 Zielchips, 1 Sanduhr, 1 Anleitung) ;",,,,,,,"Logikspiel. - für beliebig viele Spieler. - ab 10 Jahren. - Spieldauer 30 Min.",,,,,,,,,,,,,,,,,,,,"Blau Spiele Ricoc",,,,,,,,
"Stadtbibliothek Chemnitz","652219","I G",,,,,"Schimonsky, Petra","Lehn, Frauke",,,,,,,,,,,,"Lernuhr Tick Tack",,,,,,,,,"Edling",,,,"Selecta",,,,"2013",,"1 Spiel (1 zweiteil. Spielplan, 12 Tag- u. Nachtbildplättchen, 12 Stunden-Holzsteine, 1Stundenzeiger, 1 Minutenzeiger, 1 Spielanleitung) ;",,,,,,,"Lernspiel. - für beliebig viele Spieler. - ab 4 Jahren. - Spieldauer 20 Min.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","652223","III G 219 II G 21",,,,,"Rivollet, Alain","Beaujannot, Gaëtan",,,,,,,,,,,,"Concept",,,,,,,,,"Brüssel",,,,"Repos Production",,,,"2013",,"1 Spiel (110 Karten, 1 Spielplan, 1 Platikschale, 39 Siegpunkte, 5 Figuren, 42 Würfel, 1 Spielregel, 2 Spielhilfen) ;",,,,,,,"Rätselspiel. - für 4-12 Spieler. - ab 10 Jahren. Spieldauer 40 Min.",,,,,,,,,,,,,,,,,,,,"Blau Spiele Conce",,,,,,,,
"Stadtbibliothek Chemnitz","652235","III G 213 II G 21",,,,,"Burkhardt, Günter","Lehmann, Wolfgang","Boden, Victor",,,,,,,,,,,"Potato Man",,,,,,,,,"München",,,,"Zoch",,,,"2013",,"1 Spiel (52 Karten, 1 Anleitung) ;",,,,,,,"Kartenspiel. - für 2-5 Spieler. - ab 10 Jahren. - Spieldauer 20-30 Min.",,,,,,,,,,,,,,,,,,,,"Blau Spiele Potato",,,,,,,,
"Stadtbibliothek Chemnitz","652228","I G",,,,,"Lulonė, Laima",,,,,,,,,,,,,"Welches Tier bin ich?",,,,,,,,,"Vilnius",,,,"Logis",,,,"2013",,"1Spiel (32 Karten, 1 Anleitung) ;",,,,,,,"Rätselspiel. - für 1-16 Spieler. - ab 3 Jahren. - Spieldauer ca. 30 Min.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","652231","II G 21 I G",,,,,"Dorra, Stefan","Reindl, Manfred","Flad, Antje",,,,,,,,,,,"Zieh Leine, Flynn",,,,,,,,,"Kempen",,,,"Moses Verl.",,,,"2013",,"1 Spiel (1 Flynn-Figur, 1 Würfel, 1 Krähennest-Karte, 35 Goldmünzen, 20 Schnurkarten, 1 Anleitung) ;",,,,,,,"Geschicklichkeitsspiel. - für 2-5 Spieler. - ab 6 Jahren. - Spieldauer 15 Min.",,,,,,,,,,,,,,,,,,,,"Rot Spiele Zieh",,,,,,,,
"Stadtbibliothek Chemnitz","652230","I G II G 21",,,,,"Hutzler, Christian","Hutzler, Thilo","Bernhard, Martin",,,,,,,,,,,"Oh Schreck, der Speck fliegt weg!",,,,,,,,,"Bad Rodach",,,,"Haba",,,,"2013",,"1 Spiel (1 Einkaufswagen, 16 Holzteile, 16 Mäusekärtchen, 15 Einkaufskärtchen, 1 Anleitung) ;",,,,,,,"Geschicklichkeitsspiel. für 2-5 Spieler. - ab 6 Jahren. - Spieldauer 15-20 Min.",,,,,,,,,,,,,,,,,,,,"Rot Spiele Oh",,,,,,,,
"Stadtbibliothek Chemnitz","652226","II G 21",,,,,"Yu, Brian","Piero",,,,,,,,,,,,"Geister, Geister, Schatzsuchmeister!",,,,,,,,,"Dreieich",,,,"Mattel",,,,"2013",,"1 Spiel (1 Spielbrett, 19 Karten, 24 Geisterfiguren, 6 Spukfiguren, 4 Schatzsuchmeister-Figuren, 1 Zahlenwürfel, 2 Symbolwürfel, 8 Schatzjuwelen, 1 Anleitung) ;",,,,,,,"Strategiespiel. - für 2-4 Spieler. - ab 8 Jahren. - Spieldauer 30 Min.",,,,,,,,,,,,,,,,,,,,"Rot Spiele Geister",,,,,,,,
"Stadtbibliothek Chemnitz","652229","III G 213 II G 21",,,,,"Peytevin, Jérémy","Irgang, Birgit",,,,,,,,,,,,"Game over",,,,,,,,,"Ladignac le longn",,,,"La Haute Roche",,,,"2013",,"1 Spiel (33 Karten, 1 Anleitung) ;",,,,,,,"Kartenspiel. - für 2-4 Spieler. - ab 5 Jahren. - Spieldauer 1-15 Min.",,,,,,,,,,,,,,,,,,,,"Blau Spiele Game",,,,,,,,
"Stadtbibliothek Chemnitz","652227","I G",,,,,"Zirm, Johannes","Menzel, Michael",,,,,,,,,,,,"Richard Ritterschlag",,,,,,,,,"Bad Rodach",,,,"Haba",,,,"2013",,"1Spiel (36 dreieckige Landschaftsplättchen, 1 Ritter Ratlos, 18 Aufgabenkärtchen, 1 Anleitung) ;",,,,,,,"Legespiel. - für 2-4 Spieler. - ab 5 Jahren. - Spieldauer ca. 10 Min.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","659194","G 219",,,,,"Cathala, Bruno","Maublanc, Ludovic","Minguez, Jean-Marie",,,,,,,,,,,"Le Fantôme de l' Opéra",,,,,,,,,"Veyrier",,,,"Hurrican",,,,"2013",,"1 Spiel (1 Spielplan, 3 Plättchen, 8 Holzscheiben, 20 Kartonkarten, 1 Spielregel) ;",,,,,,,"Detektivspiel. - Ab 9 Jahren. - Spieldauer ca. 30 Min. - Für 2 Spieler",,,,,,,,,,,,,,,,,,,,"Games Fantôme",,,,,,,,
"Stadtbibliothek Chemnitz","655479","I G",,,,,"Brand, Inka","Brand, Markus","Krause, Joachim",,,,,,,,,,,"Dein Körper und Du",,,,,,,,,"Ravensburg",,,,"Ravensburger Spieleverl.",,,,"2013",,"1 Spiel (1 Steuerungstafel, 1 Sehtestkarte, 8 Chips, 4 Spielerplättchen, 15 Karten, 4 Formtafeln, 1 Anleitung) ; ohne Tiptoi-Stift",,,"Tiptoi macht wissen lebendig","Tiptoi macht wissen lebendig",,,"Lernspiel. - für 1-4 Spieler. - ab 4-7 Jahren. - Spieldauer ca. 20 Min.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","655483","I G II G 21",,,,,"Punke, Helmut","Joppig, Peter","Kerbusch, Katrin",,,,,,,,,,,"Balamari",,,,,,,,,"Olbernhau",,,,"Beleduc",,,,"2013",,"1 Spiel (1 Tuch, 4 Karten, 16 Holzfische, 1 Anleitung) ;",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","655484","I G",,,,,"Wrede, Anja","Cantzler, Christoph",,,,,,,,,,,,"Wo sind meine Schuhe?",,,,,,,,,"Edling",,,,"Selecta",,,,"2013",,"1 Spiel (1 Schachteleinsatz, 1 Einlage, 1 Faltkarte, 12 Karten, 12 Einseckkarten, 1 Anleitung) ;",,,,,,,"Suchspiel. - für 1-4 Spieler. - ab 2 Jahren. - Spieldauer ca. 10 Min.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","655159","G 211",,,,,"Grubbe, Gerhard",,,,,,,,,,,,,"Are you joking?",,,,,,,,,"München",,,,"Hueber",,,,"2013",,"1 Spiel (1 Spielanleitung, 200 Textkarten, 504 Vokabelkärtchen, 1 Würfel, 1 Leinenbeutel) ;",,,,,,,"Spieldauer: ca. 20 Min. pro Runde. - 3 bis 8 Spieler. - ab 12 Jahren",,"9783196695861",,,,,,,,,,,,,,,,,,"210 G 211 Are",,,,,,,,
"Stadtbibliothek Chemnitz","655163","G 211",,,,,"Sharp, Inez",,,,,,,,,,,,,"A@ Weekend in London",,,,"4., aktualisierte Aufl.",,,,,"München",,,,"Grubbe Media",,,,"2013",,"1 Spiel (1 Spielanleitung, 1 Spielplan, 5 Spielfiguren, 1 Würfel, 350 Speilkarten, 80 Chips) ;",,,,,,,"Alter: ab 14 Jahren. - Anzahl: 2 - 5 Spieler. - Spieldauer: ca. 60 Min.",,"9783196095869",,,,,,,,,,,,,,,,,,"210 G 211 Wee",,,,,,,,
"Stadtbibliothek Chemnitz","671100","II G 21",,,,,"Winslow, Jim",,,,,,,,,,,,,"Monte Banana",,,,,,,,,"Wien",,,,"Piatnik",,,,"2013",,"1 Spiel (1 Spielbrett, 1 Berg, 4 Affen, 20 Spielkarten, 20 Bananenchips, 1 Spielregel) ;",,,,,,,"Laufspiel. - für 2-4 Spieler. - ab 8 Jahren. - Spieldauer 20 Min.",,,,,,,,,,,,,,,,,,,,"Rot Spiele Monte",,,,,,,,
"Stadtbibliothek Chemnitz","670929","I G II G 21",,,,,,,,,,,,,,,,,,"S.O.S. Affenalarm",,,,,,,,,"Dreieich",,,,"Mattel",,,,"2013",,"1 Spiel (2 Baumstämme, 2 Baumkronen, 1 Ranke mit Affentimer, 1 Basis, 40 Affen, 1 Bananenbündel, 4 Stäbe, 4 Kisten, 1 Anleitung) ;",,,,,,,"Geschicklichkeitsstpiel. - für 2-4 Spieler. - ab 5 Jahren.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","667055","C 101",,,,,"Rohner, Stefanie","Wolf, Christian","Skopnik, Bernhard",,,,,,,,,,,"Black stories - Movie Edition",,,,"10. Aufl.",,,,,"Kempen",,,,"Moses",,,,"2013",,"1 Spiel (50 Karten + 1 Spielanleitung) : zahlr. Ill. ;",,,"black stories",,,,"Ab 2 Spieler. - 12 - 99 Jahre. - 2 - 222 Min.",,"9783897774827",,,,,,,,,,,,,,"Kriminalrätsel","Film","Kino <Film>",,"Kriminalfälle Black",,,,,,"http://deposit.d-nb.de/cgi-bin/dokserv?id=3202534&prov=M&dok_var=1&dok_ext=htm",,
"Stadtbibliothek Chemnitz","624524","II G 21",,,,,"Weber, Bernhard","Menzel, Michael",,,,,,,,,,,,"Gold am Orinoko",,,,,,,,,"Bad Rodach",,,,"Haba",,,,"2013",,"1 Spiel (1 Souekokab, 8 Abenteurer - je zweipro Farbe, 4 Geländewagen, 18 Goldmünzen, 5 Baumstämme, 1 weißer Abenteurer-Würfel, 1 Brauner Baumstamm-Würfel, 1 Spielanleitung) ;",,,,,,,"Laufspiel. - für 2-4 Spieler. - ab 7 Jahre. - Spieldauer 15-20 Min.",,,,,,,,,,,,,,,,,,,,"Rot Spiele Gold",,,,,,,,
"Stadtbibliothek Chemnitz","624526","II G 21 G 212 G 213",,,,,"Benndorf, Steffen","Freudenreich, Oliver",,,,,,,,,,,,"Qwixx",,,,,,,,,"Zirndorf",,,,"NSV",,,,"2013",,"1 Spiel (6 Würfel, 1 Wertungsblock, 1 Spielanleitung) ;",,,,,,,"Würfelspiel. - für 2-5 Spieler. - ab 8 Jahre. - Spieldauer ca. 15 Min.",,,,,,,,,,,,,,,,,,,,"Rot Spiele Qwixx","Games Qwixx",,,,,,,
"Stadtbibliothek Chemnitz","631169","Ter G 20.0 Sachsen",,,,,,,,,,,,,,,,,,"Monopoly Sachsen",,,,,,,,,"[Soest]",,,,"Hasbro",,,,"2013",,"1 Spiel (Spielausstattung : Spielplan, 8 Spielfiguren, 28 Besitzrechtkarten, 16 Gemeinschaftskarten, 16 Ereigniskarten, 1 Satz Monopoly-Spielgeld, 32 grüne Häuser, 12 rote Hotels, 2 Würfel, 1 Tempo-Würfel, Spielregeln) ;",,,,,,,"Für 2 bis 8 Spieler ab 8 Jahren",,,,,,,,,,,,,,,,,,,,"Ter G 20.0 Sachsen Mon",,,,,,,,
"Stadtbibliothek Chemnitz","632129","G 219",,,,,"Jones, Cory","Renac, Larry",,,,,,,,,,,,"The Walking Dead",,,,,,,,,"Stuttgart",,,,"Kosmos",,,,"2013",,"1 Spiel (1 Spielplan, 6 Charakter-Tafeln, 6 Spielfiguren ""Überlebende"", 2 Spielfiguren ""Zombies"", 4 (8) Standfüße16 Verbündeten-Plättchen, 40 Ausrüstungskarten, 40 Begegnungskarten, 30 Beißer-karten, 16 Orts-Plättchen, 4 Abzeichen, 1 Würfel, 1 Spielanleitung) ;",,,,,,,"Sammelspiel. - für 1-4 Spieler. - ab 16 Jahren. - Spieldauer 45 Min.",,,,,,,,,,,,,,,,,,,,"Games Walking",,,,,,,,
"Stadtbibliothek Chemnitz","632131","G 212",,,,,"Lim, James","Na, Junho",,,,,,,,,,,,"Pharao Code",,,,,,,,,"Dietzenbach",,,,"Amigo",,,,"2013",,"1 Spiel (48 Skarabäus Plättchen, 3 Würfel, 1 Sanduhr, 1 Spielplan, 1 Anleitung) ;",,,,,,,"Logikspiel. - für 2-5 Spieler. - ab 10 Jahren. - Spieldauer 20 Min.",,,,,,,,,,,,,,,,,,,,"Games Pharao",,,,,,,,
"Stadtbibliothek Chemnitz","632130","G 219",,,,,"Feld, Stefan","Jung, Alexander",,,,,,,,,,,,"Bora Bora",,,,,,,,,"Ravensburg",,,,"Ravensburger Spieleverl.",,,,"2013",,"1 Spiel (18 Opfergaben, 36 Muscheln, 12 Fischplättchen, 36 Frauen-Plättchen, 36 Männer-Plättchen, 60 Aufgabenplättchen, 24 Schmuckplättchen, 7 Aktionskarten, 10 Hauptgottplättchen, 24 Bauplättchen, 4 Plättchen für die Zugreifreihenfolge, 1 Spielplan, 30 Baustoffe, 60 Götterkarten, 1 Spielanleitung) ;",,,,,,,"Strategiespiel. - für 2-4 Spieler. - ab 12 Jahren. - Spieldauer 60-120 Min.",,,,,,,,,,,,,,,,,,,,"Games Bora",,,,,,,,
"Stadtbibliothek Chemnitz","632094","G 212",,,,,,,,,,,,,,,,,,"ReACTion",,,,,,,,,"Wien",,,,"Piatnik",,,,"2013",,"1 Spiel (1 Spielplan, 1 Buzzer, 8 Spielfiguren, 4 blaue NUR-DU-Tableaus, 110 Regelkarten, 1 Spielanleitung) ;",,,,,,,"Aktionsspiel. - für 3-8 Spieler. - ab 12 Jahren. - Spieldauer 30 Min.",,,,,,,,,,,,,,,,,,,,"Games React",,,,,,,,
"Stadtbibliothek Chemnitz","632133","G 290",,,,,"Brand, Inka","Weber, Willi",,,,,,,,,,,,"Stromber",,,,,,,,,"Ravensburg",,,,"Ravensburger Spieleverl.",,,,"2013",,"1 Spiel (4 Büro-Spielpläne, 5 Spielfiguren, 1 Putzwagen, 1 Becker-Figur, 200 Spielkarten, 5 Schreibtische, 12 Becker-Chips, 10 Reinigungskräfte, 15 Telefone, 5 Kaffeetassen, 1 Startspiel-Plättchen, 5 Monitore, 5 Dekoelemente, 17 Hängeregister) ;",,,,,,,"Laufspiel. - für 3-5 Spieler. - ab 14 Jahren. - Spieldauer 45-60 Min.",,,,,,,,,,,,,,,,,,,,"Games Stromb",,,,,,,,
"Stadtbibliothek Chemnitz","634351","II G 21",,,,,"Brand, Inka","Brand, Markus",,,,,,,,,,,,"Würfel-Ligretto",,,,,,,,,"Berlin",,,,"Schmidt Spiele",,,,"2013",,"1 Spiel (1 Ablageplan, 24 Würfel, 4 Würfelbecher, 1 Beutel) ;",,,,,,,"Würfelspiel. - für 2-4 Spieler. - ab 8 Jahren. - Spieldauer ca. 20 Min",,,,,,,,,,,,,,,,,,,,"Rot Spiele Würfel",,,,,,,,
"Stadtbibliothek Chemnitz","634337","I G II G 21",,,,,"Lanzavecchia, Carlo Emanuele","Vohwinkel, Franz",,,,,,,,,,,,"Feuerdrachen",,,,,,,,,"Bad Rodach",,,,"Haba",,,,"2013",,"1 Spiel (1 Spielplan, 1 2-teiliger Vulkan, 8 Drachen, 4 Säckchen, 2 Würfel, 80 Drachenrubine, 12 Kohlestücke, 1 Spielanleitung) ;",,,,,,,"Sammelspiel. - für 2-4 Spieler. - ab 5 Jahren",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","634340","II G 21 III G 219",,,,,"Grunau, Jürgen P. K.","Rüttinger, Johann",,,,,,,,,,,,"Cuatro",,,,,,,,,"Fürth",,,,"Noris",,,,"2013",,"1 Spiel (1 Spielplan, 5 Würfel, 60 Spielfiguren ""Dach"", 4 Übersichtskarten, 1 Spielanleitung) : in Behältnis 25 x 25 x 6",,,,,,,"Würfelspiel. - für 2-4 Spieler. - ab 8 Jahren. - Spieldauer 20-30 Min.",,,,,,,,,,,,,,,,,,,,"Rot Spiele Cuatro",,,,,,,,
"Stadtbibliothek Chemnitz","634341","II G 21",,,,,"Teubner, Marco","Vohwinkel, Franz",,,,,,,,,,,,"Manno Monster",,,,,,,,,"Stuttgart",,,,"Kosmos",,,,"2013",,"1 Spiel (54 Aufgabenkarten, 60 Monsterplättchen, 36 Monsterpopel, 4 Schatztruhen, 1 Wertungsplättchen, 1 Sanduhr, 3 Monsterfiguren, 1 Spielanleitung) ;",,,,,,,"Knobelspiel. - für 2-4 Spieler. - ab 8 Jahren. - Spieldauer 25 Min.",,,,,,,,,,,,,,,,,,,,"Rot Spiele Manno",,,,,,,,
"Stadtbibliothek Chemnitz","634343","III G 219",,,,,"Wichmann, Peter","Richtberg, Oliver",,,,,,,,,,,,"Finger weg!",,,,,,,,,"München",,,,"Zoch",,,,"2013",,"1 Spiel (287 Aufgabenkarten, 8 Finger weg-Scheiben, 1 Notizblock, 1 Startkarte, 1 Sicherungskasten, 1 Booklet mit Lösungen, 1 Spielanleitung) ;",,,,,,,"Kommunikationsspiel. - für 3-8 Spieler. - ab 12 Jahren. - Spieldauer ca. 45 Min.",,,,,,,,,,,,,,,,,,,,"Blau Spiele Finger",,,,,,,,
"Stadtbibliothek Chemnitz","634338","I G II G 21",,,,,"Knizia, Reiner W.","Fischer, Ulrike",,,,,,,,,,,,"Sherlock Kids",,,,,,,,,"Bad Rodach",,,,"Haba",,,,"2013",,"1 Spiel (20 Gemälde, 1 Umschlag, 1 Kunsmuseum = Schachtelboden, 5 Drehscheiben, 6 Sherlock Kids-Figuren, 1 Spielanleitung) : Konzentrationsspiel. - für 3-6 Spieler. - ab 5 Jahren",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","634344","II G 21",,,,,"Schmidt, Andreas","Jung, Alexander",,,,,,,,,,,,"Polterfass",,,,,,,,,"München",,,,"Zoch",,,,"2013",,"1 Spiel (1 Würfelbecher, 7 Zahlenfässer, 2 dunkle Spezialfässer, 6 Bierdeckel, 48 Spielkarten, 1 Notizblock, 1 Spielanleitung) ;",,,,,,,"Würfelspiel. - für 3-6 Spieler. - ab 8 Jahren. - Spieldauer 20-30 Min.",,,,,,,,,,,,,,,,,,,,"Rot Spiele Polter",,,,,,,,
"Stadtbibliothek Chemnitz","634378","III G 219 G 212",,,,,"Degnan, Jack","Winter Osterhaus, Max",,,,,,,,,,,,"Word on the Street",,,,,,,,,"Dietzenbach",,,,"Amigo",,,,"2013",,"1 Spiel (216 Aufgabenkarten, 17 Buchstabensteine, 2 Sanduhren, 1 Kartenhalter, 1 Spielplan, 1 Spielanleitung) ;",,,,,,,"Konzentrationsspiel. - für 2-10 Spieler. - ab 12 Jahren. - Spieldauer ca. 25 Min.",,,,,,,,,,,,,,,,,,,,"Blau Spiele Word","Games Word",,,,,,,
"Stadtbibliothek Chemnitz","623219","C 101",,,,,"Schumacher, Jens","Harder, Corinna",,,,,,,,,,,,"Black stories",,,,"Limitierte Sammlerausg.",,,,,"Kempen, Niederrhein",,,,"moses Verl.",,,,"2013",,"1 Spiel (1 Spielanleitung, 50 Karten) ;",,,"Real Crime Edition",,,,"Ab 2 Spieler, 12 - 99 Jahre",,"9783897777491",,,,,,,,,,,,,,,,,,"Kriminalfälle Black",,,,,,"http://deposit.d-nb.de/cgi-bin/dokserv?id=4309679&prov=M&dok_var=1&dok_ext=htm",,
"Stadtbibliothek Chemnitz","622393","II G 21 III G 219 G 219",,,,,"Mori, Paolo","Dutrait, Vincent",,,,,,,,,,,,"Augustus",,,,,,,,,"Veyrier/CH",,,,"Hurrican",,,,"2013",,"1 Spiel (88 Karten, 48 Holzfiguren, 23 Kartonscheiben, 16 Kartonkarten, 1 Wertungsblock, 1 Stoffbeutel, 1 Spielanleitung) ;",,,,,,,"Sammelspiel. - für 2-6 Spieler. - ab 8 Jahre",,,,,,,,,,,,,,,,,,,,"Blau Spiele Augus","Games August",,,,,,,
"Stadtbibliothek Chemnitz","622396","I G",,,,,"Shafir, Haim","Gadish, Geannie","Stachuletz, Barbara",,,,,,,,,,,"Ringlding",,,,,,,,,"Dietzenbach",,,,"Amigo",,,,"2013",,"1 Spiel (72 Haargummis, 1 Glocke, 32 Hände-Karten, 1 Spielanleitung) ;",,,,,,,"Geschicklichkeitsspiel. - für 2-6 Personen. - ab 4 Jahren. - Spieldauer ca. 10 Min.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","643566","I G",,,,,"Räckers, Anna Lena",,,,,,,,,,,,,"Tierkarussell",,,,,,,,,"Bad Rodach",,,,"Haba",,,,"2013",,"1 Spiel (1 Spielplan, 1 Wippe, 5 Holztiere, 10 Scheiben, 1 Spielanleitung) : in Behältnis 35x35x7cm ;",,,"Meine erste Spielewelt : Zoo",,,,"Geschicklichkeitsspiel. - für 1-3 Spieler. - ab 2 Jahren. - ca. 10 Min.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","643554","III G 219",,,,,"Schmidt, Andreas","Wagenfeld, Bernd",,,,,,,,,,,,"Der Hobbit - Smaugs Einöde",,,,,,,,,"Stuttgart",,,,"Kosmos",,,,"2013",,"1 Spiel (1 Spielplan, 8 Zwerge, 1 Gandalf, 1 Smaug-Stein, 1 Würfel, 1 Bilbo mit Ring, 120 Spielkarten, 1 Anleitung) : in Behältnis 30x30x7cm ;",,,,,,,"Strategiespiel. - 2-4 Spieler. - ab 10 Jahren. - Spieldauer 60 Min.",,,,,,,,,,,,,,,,,,,,"Blau Spiele Hobbit",,,,,,,,
"Stadtbibliothek Chemnitz","628128","III G 219",,,,,"Teuber, Klaus","Menzel, Michael",,,,,,,,,,,,"Die Siedler von Catan - Entdecker & Piraten",,,,,,,,,"Stuttgart",,,,"Kosmos",,,,"2013",,"1 Spiel (16 Hafensiedlungen, 36 Einheiten, 12 Schiffe, 8 Siedler, 12 Markierungssteine, 4 Piratenschiffe, 6 Fischschwärme, 24 Gewürzsäcke, 40 Goldmünzen, 15 Rahmenteile, 30 Landschaftsfelder, 6 Piratenlager, 3 Missonskarten plus 3 Siegpunktkärtchen, 4 neue Baukostenkarten, 10 Zip--Tüten für Spielmaterial, 1 Spielanleitung) ;",,,,,,,"Strategiespiel. - Für 2-4 Spieler. - ab 12 Jahren. - Spieldauer ca. 60-120 Min.",,,,,,,,,,,,,,,,,,,,"Blau Spiele Siedler/Erw.",,,,,,,,
"Stadtbibliothek Chemnitz","628118","I G",,,,,"Frömel, Ines","Leykamm, Martina",,,,,,,,,,,,"Wie und wo auf der Wiese?",,,,,,,,,"Bad Rodach",,,,"Haba",,,,"2013",,"1 Spiel (1 Pferd, 1 Kuh, 1 Schwein, 3 Bilderwürfel, 3 Formen, 9 Karten, 1 Spielanleitung) ;",,,"meine erst Spielewelt : Bauernhof",,,,"Spielesammlung. - ab 2 Jahren.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","628105","I G II G 21",,,,,"Joopen, Peter-Paul","Jantner, Janos",,,,,,,,,,,,"Kakerlakak",,,,,,,,,"Ravensburg",,,,"Ravensburger",,,,"2013",,"1 Spiel (24 Nieten 1 Spielgerät, 1 Spielplan, 4 Fallen, 24 Besteckteile, 1 HEXBUG®nano®Kakerlake, 18 Kakerlakenchips. 1 Würfel, 2 Türen, 1 Spielanleitung) ;",,,,,,,"Aktionsspiel. - für 2-4 Spieler. - ab 5 Jahre.",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","632125","G 212",,,,,"Patey, Lakki",,,,,,,,,,,,,"New Amici!",,,,,,,,,"Olpe",,,,"Abanico GmbH",,,,"2013",,"1 Spiel (525 Karten, 1 Spielbrett, 4 Spielsteine, 1 Würfel, 1 Spielanleitung) ;",,,,,,,"Quizspiel. - für 1-4 Spieler. - ab 8 Jahren. - Spieldauer 45 Min.",,,,,,,,,,,,,,,,,,,,"Games NewAmic",,,,,,,,
"Stadtbibliothek Chemnitz","632116","G 212",,,,,"Alspach, Ted","Pätzke, Anne",,,,,,,,,,,,"Kniffel - das Kartenspiel",,,,,,,,,"Berlin",,,,"Schmidt Spiele GmbH",,,,"2013",,"1 Spiel (65 Karten, 72 Spielsteine, 4 Ablagetafeln, 1 Spielanleitung) ;",,,,,,,"Kartenspiel. - für 2-4 Spieler. - ab 8 Jahren. - Spieldauer ca. 30 Min.",,,,,,,,,,,,,,,,,,,,"Games Kniffel",,,,,,,,
