"Datenbank","Titel (100000)","Titel (100000.1)","Verfasser (100001)","Verfasser (100001.1)","Jahr (100002)","Jahr (100002.1)","Regalstandort (100005)","Regalstandort (100005.1)",100011,100011.1,100012,100012.1
"Stadtbibliothek Chemnitz","Särge schubsen",,,"Chapeau, Thierry","2014",,"Rot Spiele Särge",,,,,
"Stadtbibliothek Chemnitz","Geocards Europa",,,"Galinsky, Bob","2014",,"Rot Spiele Geoca",,,,,
"Stadtbibliothek Chemnitz","Munchkin Quest Das Munchkin-Brettspiel",,,"Reed, Philip","2014",,"Games Munch",,,,,
"Stadtbibliothek Chemnitz","Madam Ching",,,"Cathala, Bruno","2014",,"Games Madame",,,,,
"Stadtbibliothek Chemnitz","Sagś mir! Filme",,,"Sarrett, Peter","2014",,"Games Sag´s",,,,,
"Stadtbibliothek Chemnitz","Ka-Woom",,,"Fraga, Florence","[2014] © 2014",,"Rot Spiele Ka-Wo",,,,,
"Stadtbibliothek Chemnitz","Looping Louie Da lachen ja die Hühner!",,,,"[2014] © 2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Monopoly - here & now World Das berühmte Spiel um den großen Deal",,,,"[2015] ©2014",,"Games Monopoly",,,,,
"Stadtbibliothek Chemnitz","Mein allererstes Naturspiel Mit der Käfer-Lupe spannende Details entdecken!",,,"Teubner, Marco","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Party & Co extrem",,,,"[2014]",,"Games Party",,,,,
"Stadtbibliothek Chemnitz","Einhorn Glitzerglück der Wolkenschatz",,,"Mückel, Kristin","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Zombicide [Season 1]",,,"Guiton, Raphae͏̈l","März 2013",,"Games Zombi",,,,,
"Stadtbibliothek Chemnitz","Jippijaja Quiz Original 550 aktuelle und unterhaltsame Quizfragen",,,,"[2013?]",,"G 212 Jip",,,,,
"Stadtbibliothek Chemnitz","Golden Horn von Venedig nach Konstantinopel",,,"Colovini, Leo","2013",,"Blau Spiele Golden",,,,,
"Stadtbibliothek Chemnitz","Auf die Käfer, fertig, Los! spannender Wettlauf",,,"Gattermeyer-Kapp, Ulrike","[2013] ©2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Banana Party",,,"Dorra, Stefan","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Activity® Codeword",,,"Catty, Paul","[2013 ©1996, 2013",,"Games Activity",,,,,
"Stadtbibliothek Chemnitz","Rund ums Taschengeld Wer sein Geld clever einteilt, gewinnt!",,,"Haferkamp, Kai","[2013] © 2013",,"Rot Spiele Rund",,,,,
"Stadtbibliothek Chemnitz","Der Millionen Coup eine Bank, ein Tresor und 40 Minuten Zeit",,,"Cramer, Matthias","[2013] ©2013",,"Blau Spiele Milli",,,,,
"Stadtbibliothek Chemnitz","Aqua Belle",,,,"2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Der Bunte Würfel",,,,"2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das Supertalent Wer hat ein Supertalent?",,,,"2013",,"Games Super",,,,,
"Stadtbibliothek Chemnitz","Super Race",,,"Bockelmann, Dietmar","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mein zweisprachiges Aufdeckspiel Obst und Gemüse Deutsch-Arabisch",,,,"2013",,"820 Rot G 21 Mei",,,,,
"Stadtbibliothek Chemnitz","S.O.S. Affenalarm lasst die Affen nicht purzeln!",,,,"c 2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mausezauber",,,"Vogt, Rolf","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Angelspiel",,,,"2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mausefalle",,,"Ahrenkiel, Ingeborg","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Same Same Wer tickt wie du?",,,"Staupe, Reinhard","2013",,"Games Same",,,,,
"Stadtbibliothek Chemnitz","Speed Cups",,,"Shafir, Haim","2013",,"Rot Spiele Speed Präsenzspiel",,,,,
"Stadtbibliothek Chemnitz","Joko gegen Klaas - Das Spiel das Duell um die Welt",,,,"[2013] © 2013",,"G 212 Jok",,,,,
"Stadtbibliothek Chemnitz","1, 2, Puzzelei - Zahlen von 1 [bis] 10",,,"Sauerborn, Annika","[2013?]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Hase hüpf! Das Bewegungsspiel mit dem Farbball",,,"Wrede, Anja","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die verzauberten Rumpelriesen",,,"Lanzavecchia, Carlo Emanuele","2013",,"Rot Spiele Verzau",,,,,
"Stadtbibliothek Chemnitz","Billy O'shoe",,,"Proena, Norbert","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","2 erste Spiele",,,"Freudenreich, Oliver","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Hexenküche",,,"Bougie, Nadine","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kuddelmuddel",,,"Shafir, Haim","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Differix extrem Das rasante Konzentrationsspiel auf Zeit",,,"Richter, Elisabeth","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","1, 2, Hüpferei!",,,"Birkenstock, Anna Karina","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Asante Gute Geschäfte für zwei clevere Händlerl",,,"Dorn, Rüdiger","2013",,"Blau Spiele Asant",,,,,
"Stadtbibliothek Chemnitz","Alle meine Entchen Das kunterbunte Entenrennen",,,"Meister, Heinz","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Blood Bound Ein Spiel der Täuschung, Intrige und des blutigen Verrats",,,"Krenzer, Kalle","2013",,"Games Blood",,,,,
"Stadtbibliothek Chemnitz","The Big Bang Theory - Das Partyspiel",,,,"2013",,"Games BigBang",,,,,
"Stadtbibliothek Chemnitz","Gregs Tagebuch Heissa Mama! ; Das schnelle Kartenspiel",,,"Kinney, Jeff","2013",,"Rot Spiele Greg",,,,,
"Stadtbibliothek Chemnitz","Mensch ärgere Dich nicht - Kids",,,,"2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Monopoly - Die Mega Deluxe Edition Das berühmte Spiel um den großen Deal",,,,"2013",,"Games Monop",,,,,
"Stadtbibliothek Chemnitz","Eldritch Horror Globale Mysterien und entsetzlicher Horror in einem Brettspiel",,,"Konieczka, Corey","2013",,"Games Eldri",,,,,
"Stadtbibliothek Chemnitz","Terra Mystica",,,"Ostertag, Helge","2013",,"Games Terra",,,,,
"Stadtbibliothek Chemnitz","Wir spielen Baustelle mit dem Lastwagen Baumaterial richtig zuordnen",,,"Teubner, Marco","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ugo!",,,"Hoekstra, Ronald","2013",,"Blau Spiele Ugo",,,,,
"Stadtbibliothek Chemnitz","Die monsterstarke Musikschule Singen, Hören, Musizieren",,,"Haferkamp, Kai","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ricochat Robots",,,"Randolph, Alexander","2013",,"Blau Spiele Ricoc",,,,,
"Stadtbibliothek Chemnitz","Lernuhr Tick Tack Erklär mir mal die Uhr. Lernspielmaterial mit selbsterschließenden Elementen rund um das Thema Zeit",,,"Schimonsky, Petra","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Concept",,,"Rivollet, Alain","2013",,"Blau Spiele Conce",,,,,
"Stadtbibliothek Chemnitz","Potato Man Ein festkochendes Stichspiel",,,"Burkhardt, Günter","2013",,"Blau Spiele Potato",,,,,
"Stadtbibliothek Chemnitz","Welches Tier bin ich?",,,"Lulonė, Laima","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Zieh Leine, Flynn",,,"Dorra, Stefan","2013",,"Rot Spiele Zieh",,,,,
"Stadtbibliothek Chemnitz","Oh Schreck, der Speck fliegt weg! ... ein elefantöses Geschicklichkeitsspiel",,,"Hutzler, Christian","2013",,"Rot Spiele Oh",,,,,
"Stadtbibliothek Chemnitz","Geister, Geister, Schatzsuchmeister!",,,"Yu, Brian","2013",,"Rot Spiele Geister",,,,,
"Stadtbibliothek Chemnitz","Game over",,,"Peytevin, Jérémy","2013",,"Blau Spiele Game",,,,,
"Stadtbibliothek Chemnitz","Richard Ritterschlag Drachen schlagen, Riesen jagen -ein abenteurliches Legespiel",,,"Zirm, Johannes","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Le Fantôme de l' Opéra",,,"Cathala, Bruno","2013",,"Games Fantôme",,,,,
"Stadtbibliothek Chemnitz","Dein Körper und Du Das Wissenspiel rund um den menschlichen Körper",,,"Brand, Inka","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Balamari",,,"Punke, Helmut","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Wo sind meine Schuhe? Das kleine Kinderzimmer zum Spielen und zum Aufräumen",,,"Wrede, Anja","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Are you joking? Englisch lernen ist ein Witz! ; Texte B1 bis C2",,,"Grubbe, Gerhard","2013",,"210 G 211 Are",,,,,
"Stadtbibliothek Chemnitz","A@ Weekend in London spielend die Stadt entdecken und Englisch lernen ; ein Sprach- und Reisespiel ; Texte B1 bis C2",,,"Sharp, Inez","2013",,"210 G 211 Wee",,,,,
"Stadtbibliothek Chemnitz","Monte Banana",,,"Winslow, Jim","2013",,"Rot Spiele Monte",,,,,
"Stadtbibliothek Chemnitz","S.O.S. Affenalarm Bananen-Bandit",,,,"2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Black stories - Movie Edition 50 rabenschwarze Rätsel rund um Kino-Highlights",,,"Rohner, Stefanie","2013",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Gold am Orinoko ... ein mitreißendes Wettlauf- und Taktikspiel",,,"Weber, Bernhard","2013",,"Rot Spiele Gold",,,,,
"Stadtbibliothek Chemnitz","Qwixx Klassisch einfach - einfach klasse!",,,"Benndorf, Steffen","2013",,"Rot Spiele Qwixx Games Qwixx",,,,,
"Stadtbibliothek Chemnitz","Monopoly Sachsen das berühmte Spiel um den großen Deal",,,,"2013",,"Ter G 20.0 Sachsen Mon",,,,,
"Stadtbibliothek Chemnitz","The Walking Dead das Spiel zur erfolgreichen TV-Serie",,,"Jones, Cory","2013",,"Games Walking",,,,,
"Stadtbibliothek Chemnitz","Pharao Code",,,"Lim, James","2013",,"Games Pharao",,,,,
"Stadtbibliothek Chemnitz","Bora Bora Das spannende Strategiespiel um Götter, Gaben und Gebiete",,,"Feld, Stefan","2013",,"Games Bora",,,,,
"Stadtbibliothek Chemnitz","ReACTion Erwische deine Freunde, bevor sie dich erwischen!",,,,"2013",,"Games React",,,,,
"Stadtbibliothek Chemnitz","Stromber Das große Bürostuhlrennen",,,"Brand, Inka","2013",,"Games Stromb",,,,,
"Stadtbibliothek Chemnitz","Würfel-Ligretto [Eine wilde Würfelei]",,,"Brand, Inka","2013",,"Rot Spiele Würfel",,,,,
"Stadtbibliothek Chemnitz","Feuerdrachen Autor: Carlo Emanuele Lanzavecchia. Ill. Franz Vohwinkel",,,"Lanzavecchia, Carlo Emanuele","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Cuatro Clever würfeln, klug setzen ..., 4 in eine Reihe bringen ..., gewinnen!",,,"Grunau, Jürgen P. K.","2013",,"Rot Spiele Cuatro",,,,,
"Stadtbibliothek Chemnitz","Manno Monster das monstermäßige Knobel-Spiel für die ganze Familie",,,"Teubner, Marco","2013",,"Rot Spiele Manno",,,,,
"Stadtbibliothek Chemnitz","Finger weg! Achtung Hochspannung!",,,"Wichmann, Peter","2013",,"Blau Spiele Finger",,,,,
"Stadtbibliothek Chemnitz","Sherlock Kids Auf der Spur des Bilderdiebs",,,"Knizia, Reiner W.","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Polterfass Hoch die Fässer!",,,"Schmidt, Andreas","2013",,"Rot Spiele Polter",,,,,
"Stadtbibliothek Chemnitz","Word on the Street Das rasante Wörterduell!",,,"Degnan, Jack","2013",,"Blau Spiele Word Games Word",,,,,
"Stadtbibliothek Chemnitz","Black stories 50 rabenschwarze Rätsel",,,"Schumacher, Jens","2013",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Augustus",,,"Mori, Paolo","2013",,"Blau Spiele Augus Games August",,,,,
"Stadtbibliothek Chemnitz","Ringlding",,,"Shafir, Haim","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Tierkarussell Motorikspiel",,,"Räckers, Anna Lena","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Der Hobbit - Smaugs Einöde das Spiel zum Film",,,"Schmidt, Andreas","2013",,"Blau Spiele Hobbit",,,,,
"Stadtbibliothek Chemnitz","Die Siedler von Catan - Entdecker & Piraten Erweiterung für das Basisspiel",,,"Teuber, Klaus","2013",,"Blau Spiele Siedler/Erw.",,,,,
"Stadtbibliothek Chemnitz","Wie und wo auf der Wiese? Zuordnungsspiel",,,"Frömel, Ines","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kakerlakak Dreht clever am Besteck, dann ist die Kakerlake weg!",,,"Joopen, Peter-Paul","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","New Amici! Das Sprachspiel ; Deutsch-Englisch, English-German",,,"Patey, Lakki","2013",,"Games NewAmic",,,,,
"Stadtbibliothek Chemnitz","Kniffel - das Kartenspiel Ein kniffliger Kartenspaß für Kombinierer",,,"Alspach, Ted","2013",,"Games Kniffel",,,,,
"Stadtbibliothek Chemnitz","Volltreffer! das Rate- und Bewegungsspiel",,,"Groger, Bettina","2013",,"G 212 Vol",,,,,
"Stadtbibliothek Chemnitz","Mit Line durchs Jahr Ein 4 Jahreszeitein-Suchspiel",,,"Wrede, Anja","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Teddys Farben & Formen eine erste Legespielsammlung",,,"Hüpper, Christiane","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Love Letter",,,"Kanai, Seiji","2013",,"Rot Spiele Love",,,,,
"Stadtbibliothek Chemnitz","Voodoo Mania Verflucht und zugenäht",,,"Nedergaard Andersen, Martin","2013",,"Rot Spiele Voodoo",,,,,
"Stadtbibliothek Chemnitz","La Boca Bauspaß von zwei Seiten",,,"Brand, Inka","2013",,"Rot Spiele LaBoc",,,,,
"Stadtbibliothek Chemnitz","Kang-a-Roo",,,"Knizia, Reiner","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Potzblitz Das turbulente Würfelspiel voller Hochspannung!",,,"Brand, Inka","2013",,"Rot Spiele Potz",,,,,
"Stadtbibliothek Chemnitz","Fische retten Octonauts",,,"Ludwig, Manfred","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Hokuspokus Krötenfuß! ein verhextes Sammelspiel",,,"Bos, Liesbeth","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Gold Nuggets ein goldiges Würfelspiel",,,"Knizia, Reiner","2013",,"Rot Spiele Gold",,,,,
"Stadtbibliothek Chemnitz","Was passt dazu? Entdecke die Natur:",,,"Neubacher-Fesser, Monika","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Äpfelchen Pflückt die Äpfel und füllt die Eimer!",,,"Lindley, Katrin","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kleine Gespensterfreunde ein gespenstisches Memospiel",,,"Ménager-Berthier, Jocelyne","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Gespensterturm eine Gruseljagd bis Mitternacht",,,"Meister, Heinz Georg Wilhelm","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Dino Park ein abenteuerliches Würfelspiel",,,"Knizia, Reiner","2013",,"Rot Spiele Dino",,,,,
"Stadtbibliothek Chemnitz","Arche Noah",,,"Behre, Christoph","2013",,"Rot Spiele Arche",,,,,
"Stadtbibliothek Chemnitz","1, 2, Puzzelei Tiere füttern",,,"Zosa, Teresa de","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Robinson Crusoe Abenteuer auf der verfluchten Insel",,,"Trzewiczek, Ignacy","2013",,"Blau Spiele Robin",,,,,
"Stadtbibliothek Chemnitz","Graffiti Alle zeichnen, einer rät!",,,"Zeimet, Jacques","2013",,"Games Graffi",,,,,
"Stadtbibliothek Chemnitz","Fun Farm Ab in den Stall!",,,"Bellini, Luca","[2013] © 2013",,"Rot Spiele FunFa",,,,,
"Stadtbibliothek Chemnitz","Mein zweisprachiges Aufdeckspiel Tiere Deutsch-Arabisch",,,,"2013",,"820 Rot G 21 Mei",,,,,
"Stadtbibliothek Chemnitz","Pepe-Mobiles the race",,,"Sächsische Energieagentur - SAENA GmbH (Dresden)","[2013?]",,"Ter G 20.0 Sachsen Pep",,,,,
"Stadtbibliothek Chemnitz","Fühlzwerge",,,"Dirscherl, Wolfgang","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kugelblitz ...eins, zwei, drei, lasst die Kugel frei! [inklusive zauberhaft illustrierter Kindergeschichte]",,,,"2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Stibitz",,,"Meister, Heinz","2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Benjamin Blümchen - Mix mal Méli-Mélo",,,,"c 2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Cartagena Die spannende Flucht aus der Festung!",,,"Colovini, Leo","2013",,"Rot Spiele Carta",,,,,
"Stadtbibliothek Chemnitz","4 zu mir!",,,"Baum, Heike","[2013] © 2013",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Star Wars The Clone Wars Kampf um Malastare",,,"Ast, Helmut","2013",,"Rot Spiele Star",,,,,
"Stadtbibliothek Chemnitz","Tatort: Schrebergarten",,,"Habraken, Harry G.M.","2012",,"Games Tatort",,,,,
"Stadtbibliothek Chemnitz","Farmerama das Brettspiel",,,"Rosenberg, Uwe","2012",,"Blau Spiele Farme",,,,,
"Stadtbibliothek Chemnitz","Santa Cruz Entdecke die Insel!",,,"Casasola Merkle, Marcel-André","2012",,"Blau Spiele Santa",,,,,
"Stadtbibliothek Chemnitz","Drecksau Ab in den Matsch!",,,"Bebenroth, Frank","[2012] © 2012",,"Rot Spiele Dreck",,,,,
"Stadtbibliothek Chemnitz","3 Gnus und 7 Kakadus Zahlen- und Mengenverständnis; Fit für den Einschulungstest!",,,"Haferkamp, Kai","[2012] © 2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Triovision Master",,,,"[2012] © 2012",,"G 212 Tri",,,,,
"Stadtbibliothek Chemnitz","Piraten Kapern",,,"Shafir, Haim","2012",,"Rot Spiele Piraten",,,,,
"Stadtbibliothek Chemnitz","Das Ligretteo Fußballspiel",,,"Feldkötter, Michael","[2012]",,"Rot Spiele Ligre",,,,,
"Stadtbibliothek Chemnitz","Ken Follett - Die Tore der Welt das Kartenspiel",,,"Schranz, Walter","2012",,"Games Tore",,,,,
"Stadtbibliothek Chemnitz","Wikinger Geistesblitz",,,"Peeters, Ralf","2012",,"Rot Spiele Wikin",,,,,
"Stadtbibliothek Chemnitz","Make'n'Break Junior",,,"Lawson, Andrew","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Fit & Clever das kniffelige Bewegungsdomino",,,"Ahrenkiel, Ingeborg","[2012] © 2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kleine Verse durch das Jahr Sprachförderung für Kinder von 2 bis 7",,,"Gnettner, Ingrid","[2012]",,"BF I 148.00 Kle",,,,,
"Stadtbibliothek Chemnitz","Klack! Der neue Spielspaß für Groß & Klein",,,"Shafir, Haim","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Spiegel Spukschloss",,,"Daum, Thomas","2012",,"Rot Spiele Spiegel",,,,,
"Stadtbibliothek Chemnitz","Escape der Fluch des Tempels",,,"Amundsen Østby, Kristian","[2012] © 2012",,"Games Escape",,,,,
"Stadtbibliothek Chemnitz","Drehwürmchen Würmchen würfeln, Himbeeren ernten",,,"Bücken, Hajo","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Heute schon geküsst?",,,"Hartmann, Claudia","2012",,"Games Heute",,,,,
"Stadtbibliothek Chemnitz","Bunte Mischung das vergnügliche Kartenspiel für die Aktivierung älterer Menschen",,,"Henze, Birgit","[2012] -",,,,,,,
"Stadtbibliothek Chemnitz","Bunte Mischung das vergnügliche Kartenspiel für die Aktivierung älterer Menschen",,,"Henze, Birgit","2012",,"Aktivierungs-Box",,,,,
"Stadtbibliothek Chemnitz","Monstertorte Monster Bake",,,"Rohner, Stefanie","2012",,"Rot Spiele Monster",,,,,
"Stadtbibliothek Chemnitz","Zählen und Rechnen ... ein spannender Zahlen- und Rechenspaß",,,"Bücken, Hajo","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bodenwissen im Handumdrehen Boden spielend begreifen",,,"Düwel, Olaf","[2012?]",,"W 111 Bod",,,,,
"Stadtbibliothek Chemnitz","Linus der Kleine Magier Trainiert Motorik, Konzentration und Gedächtnis",,,"Dirscherl, Wolfgang","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kleiner Baumeister ein kooperatives Sammelspiel",,,"Hüpper, Christiane","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Rechen-Hexe Zahlenmix und Rechentricks",,,"Haferkamp, Kai","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Piraten-Abenteuer Eine aufregende Verfolgungsjagd",,,"Kramer, Wolfgang","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Black Stories - Mittelalter Edition 50 rabenschwarze Rätsel rund um die finsterste alle Epochen",,,"Harder, Corinna","2012",,"Games Black",,,,,
"Stadtbibliothek Chemnitz","Bilderschlange",,,,"2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Häuptling Puzzlenase",,,"Mückel, Kristin","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bilderkette",,,,"2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Zebra-Schwein Ein sau-komisches Zeichenspiel",,,"Brand, Emely","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Waldspaziergang ein Spiel, das alle aufleben lässt",,,"Fiedler, Petra","[2012]",,"G 212 Wal",,,,,
"Stadtbibliothek Chemnitz","Absolutely English!",,,"MacSween, Fay","2012",,"210 Blau I 211 Abs",,,,,
"Stadtbibliothek Chemnitz","Lauschwunder - Das Hörmemory",,,,"[2012]",,"G 212 Lau",,,,,
"Stadtbibliothek Chemnitz","Agadez das Strategiespiel der Wüste",,,,"[2012]",,"G 212 Aga",,,,,
"Stadtbibliothek Chemnitz","Super-Mikado",,,,"[2012]",,"G 290 Sup",,,,,
"Stadtbibliothek Chemnitz","Strippenzieher gemeinsam zeichnen",,,,"[2012]",,"G 290 Str",,,,,
"Stadtbibliothek Chemnitz","Die Spielesammlung Nr.1 Spiele für Menschen mit Demenz",,,"Schmidt-Hackenberg, Ute","[2012]",,"G 212 Spi",,,,,
"Stadtbibliothek Chemnitz","Karl Kugelfisch",,,,"[2012]",,"G 212 Kar",,,,,
"Stadtbibliothek Chemnitz","Block 5",,,"Modan, Aya","2012",,"Rot Spiele Block",,,,,
"Stadtbibliothek Chemnitz","ABC-Reise",,,"Neundorfer, Jutta","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","ABC-Zauberduell",,,"Friedrich, Gerhard","2012",,"Rot Spiele ABC",,,,,
"Stadtbibliothek Chemnitz","Streck dich, Mieze Dehnen - fischen - Punkte Sammeln!",,,"Perkert, Jutta","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","50 lustige Spiele für unterwegs",,,"Große Holtforth, Isabel","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Monopoly - Banking das berühmte Spiel um den größten Deal",,,,"c 2012",,"Games Monop",,,,,
"Stadtbibliothek Chemnitz","Dragi Drache Von schwebenden Feurerbällen und pustestarken Drachen",,,"Wrede, Anja","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Beeren klau'n mit Schnabelgrün",,,"Zeimet, Jacques","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Acricola Die Bauern und das liebe Vieh",,,"Rosenberg, Uwe","2012",,"Blau Spiele Agric",,,,,
"Stadtbibliothek Chemnitz","Der Kleine Prinz Planetenwanderer",,,"Haferkamp, Kai","2012",,"Rot Spiele Kleine",,,,,
"Stadtbibliothek Chemnitz","Banana Matcho",,,"Hutzler, Thilo","2012",,"Rot Spiele Banan",,,,,
"Stadtbibliothek Chemnitz","Labyrinth Star Wars",,,"Kobbert, Max J.","2012",,"Rot Spiele Labyr",,,,,
"Stadtbibliothek Chemnitz","Blumen finden Die frechen Käfer rufen kühn: Kinder, lasst die Blumen blüh'n!",,,"Liesching, Thomas","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Auf die Weide, fertig, los!",,,"Hiese, Kirsten","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Auf die Nüsse!",,,"Feldkötter, Michael","2012",,"Rot Spiele Auf",,,,,
"Stadtbibliothek Chemnitz","Mission im Lese-Dschungel [spannende Aufträge lesen und verstehen]",,,"Haferkamp, Kai","2012",,"Rot Spiele Mission",,,,,
"Stadtbibliothek Chemnitz","Zündstoff Liebe das Spiel mit den explosiven Fragen",,,"Bungter, Tobias","2012",,"Games Zünds",,,,,
"Stadtbibliothek Chemnitz","Scheibenkleister Das Paryspiel",,,"Amundsen Østby, Kristian","2012",,"Games Scheibe",,,,,
"Stadtbibliothek Chemnitz","Der isses! Wer führt hier wen in die Irre?",,,"Randolph, Alexander","2012",,"Games DerIs",,,,,
"Stadtbibliothek Chemnitz","Jenga Classic",,,,"2012",,"Rot Spiele Jen",,,,,
"Stadtbibliothek Chemnitz","Die Legende von Andor Schützt gemeinsam das Land Andor und erlebt fantastische Abenteuer!",,,"Menzel, Michael","2012",,"Games Leg",,,,,
"Stadtbibliothek Chemnitz","Zwergentrio",,,"Bartel, Haru","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Puzzle Bauernhof",,,,"2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Puzzle Baustelle",,,,"2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Go & Go-Bang Turnier",,,,"2012",,"Blau Spiele Go",,,,,
"Stadtbibliothek Chemnitz","Make 'n' break Party",,,"Steinwender, Arno","2012",,"Games Make",,,,,
"Stadtbibliothek Chemnitz","10 Tage durch Deutschland Planen sie ihre Tour und bringen sie die Karten in die passende Reihenfolge!",,,"Moon, Alan R.","2012",,"Blau Spiele 10",,,,,
"Stadtbibliothek Chemnitz","Doggie Bones",,,"Harmon, James","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bim Bamm! ...das verflixte Kartengewusel...",,,"Zach, Lukas","2012",,"Rot Spiele Bim",,,,,
"Stadtbibliothek Chemnitz","Zählspaß meine ertste Spielewelt Bauernhof",,,"Storch, Imke","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Gregs Tagebuch Eier Matsch",,,"Kinney, Jeff","2012",,"Rot Spiele Gregs",,,,,
